44121716-MA-F01,"MARKER, FLUORESCENT, 3 colors per set",set,37.23,6
44121708-MP-B01,"MARKER, PERMANENT, bullet type, black",piece,8.98,6
44121708-MP-B02,"MARKER, PERMANENT, bullet type, blue",piece,8.98,6
44121708-MP-B03,"MARKER, PERMANENT, bullet type, red",piece,8.98,6
44121708-MW-B01,"MARKER, WHITEBOARD, black",piece,11.86,6
44121708-MW-B02,"MARKER, WHITEBOARD, blue",piece,11.86,6
44121708-MW-B03,"MARKER, WHITEBOARD, red",piece,11.86,6
43211503-LTE-01,MITHI 3 Laptop Computer For Executive,unit,68640,7
43211503-LCT-03,MITHI 3 Laptop Computer Mid-Range,unit,45747.52,7
43211507-DCT-03,"MITHI DESKTOP COMPUTER, ACER VERITON M2640G",unit,39208,7
56101504-CM-B01,MONOBLOC CHAIR-beige,piece,262.6,3
56101504-CM-W01,MONOBLOC CHAIR-white,piece,262.6,2
56101519-TM-S02,"MONOBLOC, TABLE, BEIGE",unit,1315.6,3
56101519-TM-S01,"MONOBLOC, TABLE, WHITE",unit,1336.4,3
47121804-MP-B01,MOPBUCKET,unit,2288,4
47131613-MP-H02,MOPHANDLE,piece,145.6,4
47131619-MP-R01,"MOPHEAD, made of rayon, weight: 400 grams min",piece,122.41,4
43211708-MO-O01,"MOUSE, OPTICAL, USB CONNECTION TYPE, 1 unit in ind",unit,143.21,7
45111609-MM-P01,"MULTIMEDIA PROJECTOR, 4000 min ANSI Lumens",unit,18616,3
14111514-NB-S01,"NOTEBOOK, STENOGRAPHER, spiral, 40 leaves",piece,12.73,5
14111514-NP-S02,"NOTEPAD, STICK-ON, 2X3, 100 sheets per pad",pad,32.22,5
14111514-NP-S03,"NOTEPAD, STICK-ON, 3X3, 100 sheets per pad",pad,41.5,5
14111514-NP-S04,"NOTEPAD, STICK-ON, 3X4, 100 sheets per pad",pad,56.06,5
14111531-PP-R01,"PAD PAPER, RULED",pad,29.12,5
44122104-PC-G01,"PAPER CLIP, 33MM, 100 pieces per box or 52 grams (",box,6.29,2
44122104-PC-J02,"PAPER CLIP, 50MM, 100 pieces per box or 120 grams",box,14.04,2
44101603-PS-M01,PAPER SHREDDER,unit,5699.2,3
44101601-PT-M01,PAPER TRIMMER CUTTING MACHINE,unit,8088.08,3
14111507-PP-C01,"PAPER, MULTI-PURPOSE, 70 gsm., size: 210mm x 297mm",--others--,155.65,5
14111507-PP-C02,"PAPER, MULTI-PURPOSE, 70 gsm., size: 216mm x 330mm",--others--,175.56,5
14111507-PP-M01,"PAPER, MULTICOPY, 80gsm, size: 210mm x 297mm (A4)",--others--,172.31,5
14111507-PP-M02,"PAPER, MULTICOPY, 80gsm, size: 216mm x 330mm (Lega",--others--,193.84,5
14111503-PA-P01,"PAPER, PARCHMENT, 100 sheets per box",box,101.92,5
14111818-TH-P02,"PAPER, THERMAL, 216MM X 30M",roll,48.78,5
44121619-PS-M01,"PENCIL SHARPENER, 1 piece in individual plastic ca",piece,193.32,2
44121706-PE-L01,"PENCIL, LEAD WITH ERASER, 12 pieces per box",box,20.79,6
55121905-PH-F01,PHILIPPINE NATIONAL FLAG,piece,319.28,2
43212102-PR-D02,"PRINTER, IMPACT DOT MATRIX, 24 pins, 136 column",unit,33131.28,3
43212102-PR-D01,"PRINTER, IMPACT DOT MATRIX, 9 pins, 80 columns",unit,7995.52,3
43212105-PR-L01,"PRINTER, LASER, MONOCHROME",unit,724.88,3
44101602-PU-P01,"PUNCHER, paper, heavy duty, with two hole guide, 1",piece,131.96,2
47131501-RG-C01,"RAGS, ALL COTTON, 32 pieces per kilo per bundle",bundle,53.82,4
14111531-RE-B01,"RECORD BOOK, 300 PAGES, size: 214mm x 278mm min",book,70.72,5
14111531-RE-B02,"RECORD BOOK, 500 PAGES, size: 214mm x 278mm min",book,101.92,5
44122037-RB-P10,"RING BINDER, PLASTIC, 32MM, 84 rings",bundle,201.64,2
44122101-RU-B01,"RUBBER BAND, 70mm min lay flat length (#18)",box,109.5,2
41111604-RU-P02,"RULER, PLASTIC, 450MM, 1 piece in individual plast",piece,17.68,2
44121618-SS-S01,"SCISSORS, symmetrical, blade length: 65mm, 1 piece",pair,15.6,2
47131602-SC-N01,"SCOURING PAD, 5 pieces per pack",pack,107.12,4
60121524-SP-G01,"SIGN PEN, BLACK, liquid/gel ink, 0.5mm needle tip",piece,34.61,6
60121524-SP-G02,"SIGN PEN, BLUE, liquid/gel ink, 0.5mm needle tip",piece,34.61,6
60121524-SP-G03,"SIGN PEN, RED, liquid/gel ink, 0.5mm needle tip",piece,34.61,6
12171703-SI-P01,"STAMP PAD INK, purple or violet, 50ml (min.)",bottle,26.26,2
44121905-SP-F01,"STAMP PAD, FELT, bed dimension: 60mm x 100mm",piece,29.1,2
44121613-SR-P01,"STAPLE REMOVER, PLIER TYPE",piece,23.35,2
31151804-SW-H01,"STAPLE WIRE, HEAVY DUTY, 23/13",box,19.76,2
31151804-SW-S01,"STAPLE WIRE, STANDARD",box,20.05,2
44121615-ST-B01,"STAPLER, BINDER TYPE",unit,684.32,2
44121615-ST-S01,"STAPLER, STANDARD TYPE, load cap: 200 staples min,",piece,155.48,2
44121605-TD-T01,"TAPE DISPENSER, TABLE TOP",piece,55.83,3
31201502-TA-E01,"TAPE, ELECTRICAL",roll,18.2,2
31201503-TA-M01,"TAPE, MASKING, width: 24mm (Â±1mm)",roll,55.12,2
31201503-TA-M02,"TAPE, MASKING, width: 48mm (Â±1mm)",roll,106.6,2
31201517-TA-P01,"TAPE, PACKAGING, width: 48mm (Â±1mm)",roll,18.2,2
31201512-TA-T01,"TAPE, TRANSPARENT, width: 24mm (Â±1mm)",roll,9.1,2
31201512-TA-T02,"TAPE, TRANSPARENT, width: 48mm (Â±1mm)",roll,18.2,2
14111704-TT-P02,TOILET TISSUE PAPER 2-ply (100% recycled),pack,85.8,5
47121701-TB-PO3,"Trashbag, black, 940mmx1016mm, 10pcs per roll/pack",roll,111.99,4
31151507-TW-P01,"TWINE, PLASTIC",roll,58.24,2
47121702-WB-P01,"WASTEBASKET, NON RIGID PLASTIC",piece,23.59,4
60121124-WR-P01,"WRAPPING PAPER, 50 sheets per pack",pack,129.67,2
44103103-HP-B51,HP Toner CF280XC ,Cart,"7,112.56",8
44103105-BR-B04,"INK CART, BROTHER LC67B, Black",Cart,910.00,8
44103105-BR-B05,"INK CART, BROTHER LC67HYBK, Black",Cart,"1,601.60",8
44103105-CA-B04,"INK CART, CANON PG-740, Black ",Cart,754.00,8
44103105-CA-C04,"INK CART, CANON CL-741, Col.",Cart,989.04,8
44103105-CA-C02,"INK CART, CANON CL-811, Colored",Cart,"1,029.60",8
44103105-CA-B02,"INK CART, CANON PG-810, Black",Cart,780.00,8
44103105-EP-B17,"INK CART, EPSON C13T664100 (T6641), Black",Cart,254.80,8
44103105-EP-C17,"INK CART, EPSON C13T664200 (T6642), Cyan",Cart,254.80,8
44103105-EP-M17,"INK CART, EPSON C13T664300 (T6643), Magenta",Cart,254.80,8
44103105-EP-Y17,"INK CART, EPSON C13T664400 (T6644), Yellow",Cart,254.80,8
44103105-HP-B09,"INK CART, HP C9351AA, (HP21), Black",Cart,658.32,8
44103105-HP-T10,"INK CART, HP C9352AA, (HP22), Tri-color",Cart,745.68,8
44103105-HP-B17,"INK CART, HP CC640WA, (HP60),  Black",Cart,650.00,8
44103105-HP-T17,"INK CART, HP CC643WA, (HP60), Tri-color",Cart,766.48,8
44103105-HP-B35,"INK CART, HP CD887AA, (HP703), Black",Cart,339.04,8
44103105-HP-T35,"INK CART, HP CD888AA, (HP703), Tri-color",Cart,339.04,8
44103105-HX-C40,"INK CART, HP CD972AA, (HP 920XL), Cyan",Cart,641.68,8
